Middle layer Super Output Areas Code,Middle layer Super Output Areas,% 16_to_29,% 30_to_49,% 50_to_69,total
E02000130,Bromley 004,14.03133903,34.93589744,22.05603039,8424
E02000131,Bromley 005,16.81129017,43.07237532,17.98417088,10487
E02000132,Bromley 006,13.90499441,39.24321025,19.39782321,9831
E02000133,Bromley 007,12.19194643,27.28540872,25.82535106,10753
E02000134,Bromley 008,15.23274615,34.36303293,21.21521573,11751
E02000135,Bromley 009,18.45810961,33.12734272,22.42933847,9871
E02000136,Bromley 010,14.10412676,24.44715306,24.56904057,5743
E02000137,Bromley 011,11.813743,31.24925569,22.71049184,8397
E02000138,Bromley 012,11.11372457,30.71856992,24.59132071,8503
E02000139,Bromley 013,12.80788177,35.77910293,22.9841846,7714
E02000140,Bromley 014,18.07492795,27.67723343,21.5907781,8675
E02000141,Bromley 015,14.13764511,35.15754561,22.92703151,7236
E02000142,Bromley 016,14.16903006,28.73511061,24.07260352,8815
E02000144,Bromley 018,14.32405567,36.00397614,19.86083499,10060
E02000145,Bromley 019,16.22265049,28.48883347,21.81158599,8821
E02000146,Bromley 020,13.41300093,33.24405069,21.61326878,9707
E02000147,Bromley 021,13.93872818,23.08067863,27.03527401,8193
E02000148,Bromley 022,11.8399524,25.76230849,26.0151718,6723
E02000149,Bromley 023,16.16260561,28.3702706,23.99902045,8167
E02000150,Bromley 024,14.1146078,25.5636449,26.98449977,8516
E02000151,Bromley 025,10.08347688,26.88485491,25.5333245,7547
E02000152,Bromley 026,15.78286002,29.5174667,21.43754712,7958
E02000153,Bromley 027,13.58983845,25.02158096,25.78616352,8109
E02000154,Bromley 028,14.6241351,29.15445057,23.68945702,8527
E02000155,Bromley 029,13.02585604,24.19287212,27.89657582,7155
E02000156,Bromley 030,13.14569267,23.03750102,27.64988205,12293
E02000157,Bromley 031,13.1333652,24.48613767,25.1792543,8368
E02000158,Bromley 032,13.81258023,24.9550706,23.97946085,7790
E02000159,Bromley 033,14.28571429,22.58744206,28.55738165,7119
E02000160,Bromley 034,14.01949895,23.00382574,27.66876466,8103
E02000161,Bromley 035,12.78454817,27.92595999,23.7640837,8698
E02000162,Bromley 036,13.57574056,23.92250456,24.59637793,7123
E02000163,Bromley 037,12.64248705,25.16839378,26.86528497,7720
E02000165,Bromley 039,15.12616757,26.44639621,25.87480831,7173
E02000166,Camden 001,17.45027125,26.95685869,26.56936192,7742
E02000167,Camden 002,14.05360367,31.35675601,23.74670185,7201
E02000168,Camden 003,21.73300909,30.8844234,23.05132472,7813
E02000169,Camden 004,14.77146042,31.52173913,21.87848384,7176
E02000170,Camden 005,20.79383137,34.50891164,19.01150297,7911
E02000171,Camden 006,19.51021513,31.83601678,22.08090921,7391
E02000172,Camden 007,24.4973492,30.0390117,19.68590577,9997
E02000173,Camden 008,18.40138778,37.10968775,17.41393114,7494
E02000174,Camden 009,24.67227306,30.65792728,20.83848627,8086
E02000175,Camden 010,27.03744493,37.16960352,16.31057269,9080
E02000176,Camden 011,15.71646084,38.57215361,20.69023854,5911
E02000177,Camden 012,24.47898269,30.87248322,19.26292241,8493
E02000178,Camden 013,25.45760809,35.6541269,17.77653004,8905
E02000179,Camden 014,19.53383197,31.62289094,20.87319534,5749
E02000180,Camden 015,28.1868969,31.80548502,18.829355,7876
E02000181,Camden 016,22.13693203,38.219636,17.43221493,8077
E02000182,Camden 017,20.30064625,34.02641191,18.0949705,7118
E02000183,Camden 018,20.23982079,29.83265252,23.32323099,7589
E02000184,Camden 019,35.83295914,28.74943871,16.97350696,8908
E02000185,Camden 020,21.92705988,30.92075642,20.08104457,8884
E02000186,Camden 021,31.90874036,29.62724936,18.66966581,6224
E02000187,Camden 022,31.68114461,26.73479816,17.51660705,9785
E02000188,Camden 023,31.39632107,25.8361204,19.38405797,7176
E02000191,Camden 026,51.60202361,22.27843358,14.29642121,5337
E02000192,Camden 027,27.45981673,28.93195133,22.20219318,6657
E02000193,Camden 028,36.53910708,25.84759987,21.11446794,5958
E02000194,Croydon 001,15.62839158,36.72672021,20.81614934,9214
E02000195,Croydon 002,15.35192288,28.55810096,24.47392972,9647
E02000196,Croydon 003,18.3817952,29.05183312,23.24905183,7910
E02000197,Croydon 004,17.69333038,30.60048748,22.87835143,9026
E02000198,Croydon 005,18.6564645,30.53898954,23.56250703,8887
E02000199,Croydon 006,18.1504814,29.35932485,25.43682396,8413
E02000200,Croydon 007,16.20247569,34.53801945,22.23695844,9048
E02000201,Croydon 008,16.63216011,33.08028525,21.90016103,8694
E02000202,Croydon 009,18.78502578,27.22483748,25.01681237,8922
E02000203,Croydon 010,17.21280603,30.24482109,23.46516008,7965
E02000204,Croydon 011,19.16942833,27.42336371,23.58119304,9656
E02000206,Croydon 013,17.7313488,32.44892299,20.44004807,10817
E02000207,Croydon 014,20.52347787,28.94855089,25.37631993,8902
E02000208,Croydon 015,19.16206262,32.19152855,18.86740331,10860
E02000209,Croydon 016,20.20302328,28.809445,22.10084961,9063
E02000210,Croydon 017,17.09892128,32.29286206,23.52536149,8714
E02000211,Croydon 018,15.23026713,24.40468996,26.79801765,8273
E02000212,Croydon 019,20.3891709,30.09729272,20.62182741,9456
E02000213,Croydon 020,20.19846851,34.88045007,17.47147992,12798
E02000214,Croydon 021,15.11702469,25.8416159,27.65309394,6238
E02000215,Croydon 022,18.18181818,36.37209302,19.02748414,11825
E02000216,Croydon 023,13.37801983,34.24102779,19.01968999,7161
